,loss,accuracy,val_loss,val_accuracy
0,0.5053712129592896,0.8206999897956848,0.35930389165878296,0.8730999827384949
1,0.33358415961265564,0.8807833194732666,0.3051547408103943,0.8894000053405762
2,0.28252533078193665,0.8961666822433472,0.288349449634552,0.8927000164985657
3,0.2543193995952606,0.908133327960968,0.27108702063560486,0.9014999866485596
4,0.23226912319660187,0.9154666662216187,0.2591259181499481,0.9053999781608582
5,0.21339453756809235,0.9217333197593689,0.2542085349559784,0.9071000218391418
6,0.19901804625988007,0.9271166920661926,0.2493762969970703,0.9108999967575073
7,0.1863723248243332,0.932116687297821,0.24506892263889313,0.9128999710083008
8,0.1719767451286316,0.9367666840553284,0.2531156837940216,0.9114000201225281
9,0.16359928250312805,0.9399666786193848,0.24881552159786224,0.9146000146865845
10,0.15121212601661682,0.9449833035469055,0.2554762065410614,0.9120000004768372
11,0.14234188199043274,0.947866678237915,0.2596614360809326,0.9135000109672546
12,0.13693825900554657,0.9490166902542114,0.2601119875907898,0.9128000140190125
